,Exp,ID,anomalyName,anomalyType,TN,FN,FP,TP,ACC,FPR,TPR,P,F1,Update_times,runtime
0,E0,0,normal,[],100,0,0,0,1,0,0,0,0,2,3.9651761054992676
1,E0,1,normal,[],100,0,0,0,1,0,0,0,0,2,3.970691204071045
2,E0,2,normal,[],100,0,0,0,1,0,0,0,0,2,3.9748270511627197
3,E0,0,outlier,[0],0,0,0,100,0,0,0,0,0,2,4.023566722869873
4,E0,1,outlier,[0],100,0,0,0,1,0,0,0,0,2,4.03191876411438
5,E0,2,outlier,[0],100,0,0,0,1,0,0,0,0,2,4.036861896514893
6,E0,0,outlier,[1],0,0,0,100,0,0,0,0,0,2,3.755413055419922
7,E0,1,outlier,[1],100,0,0,0,1,0,0,0,0,2,3.7613508701324463
8,E0,2,outlier,[1],100,0,0,0,1,0,0,0,0,2,3.7671499252319336
9,E0,0,outlier,[2],95,0,0,5,1.0,0.0,1.0,1.0,1.0,2,3.0675289630889893
10,E0,1,outlier,[2],100,0,0,0,1,0,0,0,0,2,3.0737967491149902
11,E0,2,outlier,[2],100,0,0,0,1,0,0,0,0,2,3.0783119201660156
12,E0,0,outlier,"[0, 1]",95,4,0,1,0.96,0.0,0.2,1.0,0.33333333333333337,2,2.876779079437256
13,E0,1,outlier,"[0, 1]",100,0,0,0,1,0,0,0,0,2,2.8834421634674072
14,E0,2,outlier,"[0, 1]",100,0,0,0,1,0,0,0,0,2,2.8879480361938477
15,E0,0,outlier,"[0, 2]",95,0,0,5,1.0,0.0,1.0,1.0,1.0,2,3.09368896484375
16,E0,1,outlier,"[0, 2]",100,0,0,0,1,0,0,0,0,2,3.100950002670288
17,E0,2,outlier,"[0, 2]",100,0,0,0,1,0,0,0,0,2,3.104689836502075
18,E0,0,outlier,"[1, 2]",95,0,0,5,1.0,0.0,1.0,1.0,1.0,2,2.9521231651306152
19,E0,1,outlier,"[1, 2]",100,0,0,0,1,0,0,0,0,2,2.9588100910186768
20,E0,2,outlier,"[1, 2]",100,0,0,0,1,0,0,0,0,2,2.9631049633026123
21,E0,0,outlier,"[0, 1, 2]",95,0,0,5,1.0,0.0,1.0,1.0,1.0,2,3.1676218509674072
22,E0,1,outlier,"[0, 1, 2]",100,0,0,0,1,0,0,0,0,2,3.1747782230377197
23,E0,2,outlier,"[0, 1, 2]",100,0,0,0,1,0,0,0,0,2,3.178941011428833
24,E0,0,constant,[0],95,4,0,1,0.96,0.0,0.2,1.0,0.33333333333333337,2,3.0377590656280518
25,E0,1,constant,[0],100,0,0,0,1,0,0,0,0,2,3.043773889541626
26,E0,2,constant,[0],100,0,0,0,1,0,0,0,0,2,3.048250913619995
27,E0,0,constant,[1],0,0,0,100,0,0,0,0,0,2,2.8909811973571777
28,E0,1,constant,[1],100,0,0,0,1,0,0,0,0,2,2.897641181945801
29,E0,2,constant,[1],100,0,0,0,1,0,0,0,0,2,2.903355121612549
30,E0,0,constant,[2],95,0,0,5,1.0,0.0,1.0,1.0,1.0,2,2.988774061203003
31,E0,1,constant,[2],100,0,0,0,1,0,0,0,0,2,2.995290994644165
32,E0,2,constant,[2],100,0,0,0,1,0,0,0,0,2,3.0011091232299805
33,E0,0,constant,"[0, 1]",95,4,0,1,0.96,0.0,0.2,1.0,0.33333333333333337,2,2.94278621673584
34,E0,1,constant,"[0, 1]",100,0,0,0,1,0,0,0,0,2,2.948914051055908
35,E0,2,constant,"[0, 1]",100,0,0,0,1,0,0,0,0,2,2.9533441066741943
36,E0,0,constant,"[0, 2]",95,0,0,5,1.0,0.0,1.0,1.0,1.0,2,3.1407339572906494
37,E0,1,constant,"[0, 2]",100,0,0,0,1,0,0,0,0,2,3.147030830383301
38,E0,2,constant,"[0, 2]",100,0,0,0,1,0,0,0,0,2,3.151376962661743
39,E0,0,constant,"[1, 2]",95,0,0,5,1.0,0.0,1.0,1.0,1.0,2,3.0300700664520264
40,E0,1,constant,"[1, 2]",100,0,0,0,1,0,0,0,0,2,3.03652286529541
41,E0,2,constant,"[1, 2]",100,0,0,0,1,0,0,0,0,2,3.0421061515808105
42,E0,0,constant,"[0, 1, 2]",95,0,0,5,1.0,0.0,1.0,1.0,1.0,2,3.0744259357452393
43,E0,1,constant,"[0, 1, 2]",100,0,0,0,1,0,0,0,0,2,3.081465005874634
44,E0,2,constant,"[0, 1, 2]",100,0,0,0,1,0,0,0,0,2,3.0874319076538086
45,E0,0,noise,[0],0,0,0,100,0,0,0,0,0,2,3.1007471084594727
46,E0,1,noise,[0],100,0,0,0,1,0,0,0,0,2,3.1087942123413086
47,E0,2,noise,[0],100,0,0,0,1,0,0,0,0,2,3.1151280403137207
48,E0,0,noise,[1],0,0,0,100,0,0,0,0,0,2,2.9346821308135986
49,E0,1,noise,[1],100,0,0,0,1,0,0,0,0,2,2.939913034439087
50,E0,2,noise,[1],100,0,0,0,1,0,0,0,0,2,2.944643020629883
51,E0,0,noise,[2],95,0,0,5,1.0,0.0,1.0,1.0,1.0,2,3.0732979774475098
52,E0,1,noise,[2],100,0,0,0,1,0,0,0,0,2,3.0800588130950928
53,E0,2,noise,[2],100,0,0,0,1,0,0,0,0,2,3.086254119873047
54,E0,0,noise,"[0, 1]",95,3,0,2,0.97,0.0,0.4,1.0,0.5714285714285715,2,3.022879123687744
55,E0,1,noise,"[0, 1]",100,0,0,0,1,0,0,0,0,2,3.029914140701294
56,E0,2,noise,"[0, 1]",100,0,0,0,1,0,0,0,0,2,3.0359678268432617
57,E0,0,noise,"[0, 2]",95,0,0,5,1.0,0.0,1.0,1.0,1.0,2,2.955080986022949
58,E0,1,noise,"[0, 2]",100,0,0,0,1,0,0,0,0,2,2.9610209465026855
59,E0,2,noise,"[0, 2]",100,0,0,0,1,0,0,0,0,2,2.966475009918213
60,E0,0,noise,"[1, 2]",95,0,0,5,1.0,0.0,1.0,1.0,1.0,2,3.075897216796875
61,E0,1,noise,"[1, 2]",100,0,0,0,1,0,0,0,0,2,3.0825421810150146
62,E0,2,noise,"[1, 2]",100,0,0,0,1,0,0,0,0,2,3.086935043334961
63,E0,0,noise,"[0, 1, 2]",95,0,0,5,1.0,0.0,1.0,1.0,1.0,2,2.988769054412842
64,E0,1,noise,"[0, 1, 2]",100,0,0,0,1,0,0,0,0,2,2.9969570636749268
65,E0,2,noise,"[0, 1, 2]",100,0,0,0,1,0,0,0,0,2,3.001655101776123
