Temperature,Temperature,Temperature,,,,Humidity,Humidity,Humidity,,,,Voltage,Voltage,Voltage
19.8806,19.4298,18.9888,,,,38.8379,38.9401,40.9392,,,,2.65143,2.68742,2.67532
19.8512,19.42,18.9398,,,,38.872,39.0763,40.8718,,,,2.65143,2.67532,2.67532
19.8316,19.4298,18.9006,,,,38.9742,39.1443,40.973,,,,2.65143,2.68742,2.68742
19.812,19.42,18.9251,,,,39.0763,39.2123,40.93925,,,,2.65143,2.68742,2.68137
19.8022,19.42,18.9496,,,,39.0763,39.2803,40.9055,,,,2.65143,2.68742,2.67532
19.7924,19.4102,18.95286667,,,,39.0763,39.1443,41.04026667,,,,2.65143,2.68742,2.67532
19.7924,19.42,18.95613333,,,,39.1103,39.1443,41.17503333,,,,2.65143,2.68742,2.67532
19.7826,19.4004,18.9594,,,,39.2123,39.3483,41.3098,,,,2.65143,2.68742,2.67532
19.7728,19.4004,18.9496,,,,39.23496667,39.3483,41.3771,,,,2.65143,2.68742,2.67532
19.763,19.3955,18.9496,,,,39.25763333,39.2973,41.0404,,,,2.65143,2.68742,2.67532
19.7532,19.3906,18.93,,,,39.2803,39.2463,40.9055,,,,2.65143,2.68742,2.67532
19.763,19.4004,18.9153,,,,39.4162,39.2463,40.97295,,,,2.65143,2.68742,2.68137
19.7532,19.3808,18.9006,,,,39.46715,39.1443,41.0404,,,,2.645535,2.68742,2.68742
19.7434,19.3906,18.8908,,,,39.5181,39.2123,41.1751,,,,2.63964,2.68742,2.67532
19.7336,19.3808,18.8712,,,,39.4842,39.1443,41.0404,,,,2.65143,2.68742,2.67532
19.7336,19.3906,18.881,,,,39.4842,39.1443,41.0741,,,,2.65143,2.68742,2.67532
19.7336,19.3759,18.8712,,,,39.4842,39.1103,41.1246,,,,2.65143,2.68742,2.67532
19.7238,19.3612,18.8614,,,,39.4502,39.0763,41.1751,,,,2.65143,2.68742,2.67532
19.7287,19.3612,18.881,,,,39.41625,39.0422,41.0404,,,,2.645535,2.68742,2.67532
19.7336,19.3563,18.9006,,,,39.3823,39.0252,41.0404,,,,2.63964,2.68742,2.67532
19.714,19.3514,18.9104,,,,39.3483,39.0082,40.8718,,,,2.65143,2.68742,2.68742
19.7336,19.3514,18.93,,,,39.3483,39.0082,40.9055,,,,2.65143,2.68742,2.68742
19.7434,19.3612,18.93,,,,39.3143,38.9401,40.973,,,,2.65143,2.68742,2.67532
19.7287,19.3612,18.9496,,,,39.1953,38.8379,40.9055,,,,2.65143,2.68742,2.68742
19.714,19.3416,18.9496,,,,39.0763,38.7698,40.7031,,,,2.65143,2.69964,2.68742
19.714,19.322,18.9398,,,,38.9401,38.8039,40.568,,,,2.65143,2.67532,2.67532
19.6944,19.3318,18.9104,,,,39.1783,38.8379,40.6355,,,,2.65143,2.67532,2.67532
19.6944,19.322,18.8908,,,,39.1783,38.8039,40.8381,,,,2.65143,2.67532,2.67532
19.6944,19.322,18.8614,,,,39.2123,38.7698,40.7706,,,,2.65143,2.68742,2.68742
19.6846,19.3318,18.8614,,,,39.2123,38.7016,40.7031,,,,2.65143,2.67532,2.68742
19.6748,19.322,18.8761,,,,39.1783,38.7357,40.6862,,,,2.65143,2.68742,2.68742
19.665,19.322,18.8908,,,,39.1443,38.71865,40.6693,,,,2.65143,2.68742,2.68742
19.6748,19.322,18.881,,,,39.1443,38.7016,40.6355,,,,2.65143,2.68742,2.67532
19.6748,19.322,18.8908,,,,39.1103,38.6675,40.6355,,,,2.65143,2.68742,2.68742
19.6748,19.3122,18.8712,,,,39.0763,38.7357,40.7031,,,,2.65143,2.68742,2.67532
19.6748,19.2926,18.8712,,,,39.0763,38.7016,40.7031,,,,2.65143,2.68742,2.68742
19.6748,19.2926,18.8614,,,,39.0422,38.7357,40.7537,,,,2.65143,2.68742,2.68137
19.6748,19.2926,18.8516,,,,38.9061,38.7698,40.8043,,,,2.65143,2.68742,2.67532
19.6552,19.2877,18.8418,,,,38.9742,38.8209,40.7706,,,,2.65143,2.69353,2.68742
19.6454,19.2828,18.832,,,,39.1103,38.872,40.8381,,,,2.65143,2.69964,2.67532
19.6454,19.2828,18.8124,,,,39.04225,38.9401,40.973,,,,2.65143,2.69353,2.67532
19.6454,19.2828,18.7928,,,,38.9742,39.0082,40.9055,,,,2.65143,2.68742,2.67532
